Common Name,Class,Order,Family,Genus,Species,ID notes
Argentine Ant,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Formicidae (Ants),Linepithema,humile,"Argentine ant workers are typically light to dark brown in color and range between 2.2 to 2.8 mm long. They are wingless with 12-segmented antenna and emit a musty odor when crushed. Queens are slightly larger than workers, measuring between 4 to 6 mm long."
European Mantis,Insecta (Insects),Mantodea (Mantises),Mantidae (Mantids),Mantis,religiosa,"European Mantis has a characteristic ""Bulls Eye"" on the forearm."
Seven-spotted Lady Beetle,Insecta (Insects),Coleoptera (Beetles),Coccinellidae (Lady Beetles),Coccinella,septempunctata,"Identify this species by the presence of a white spot on either side of the head, and the 7 black spots on the elytra (shell-like wing covers)."
Convergent Lady Beetle,Insecta (Insects),Coleoptera (Beetles),Coccinellidae (Lady Beetles),Hippodamia,convergens,"Adults are easily recognized by their bright red or orange elytra (hardened forewings) which usually have 12 black spots (6 on each elytron). The prothorax (area behind the head) is black with a white border and two white, converging lines, which give rise to the insect's common name."
Asian Lady Beetle,Insecta (Insects),Coleoptera (Beetles),Coccinellidae (Lady Beetles),Harmonia,axyridis,Red ladybug with variable black spots. Can have pale M shape on head. Often aggregates in homes in winter.
"California Lady Beetle ",Insecta (Insects),Coleoptera (Beetles),Coccinellidae (Lady Beetles),Coccinella,californica,"The California lady beetle (left) has no spots on its wings and two widely spaced white spots on its thorax, but no white band between its eyes."
Western Pygmy-Blue Butterfly,Insecta (Insects),Lepidoptera (Butterflies and Moths),Lycaenidae (Gossamer-winged Butterflies),Brephidium,exilis,"The upperside is copper brown with dull blue at the bases of both wings.
The underside of the hindwing is copper brown with white at the base; the fringe mostly white, with 3 small black spots near base, and a row of black spots at outer margin.
The wingspan is 12–20 mm."
"Noble False Widow ",Arachnida (Arachnids),Araneae (Spiders),Theridiidae (Cobweb Spiders),Steatoda,nobilis,"Coloration: The overall color of Noble False Widows is typically dark brown or black, with a shiny, almost leathery appearance. Their abdomens, however, exhibit distinctive markings that can vary in intensity but are often described as ""skull-shaped."" These markings consist of cream-colored or light brown patterns that may resemble a skull or a series of chevrons. Abdomen Shape: Female Noble False Widows have a bulbous, globular abdomen, while males have a more elongated and flattened abdomen. Legs: The legs of Noble False Widows are uniformly red-brown in color and are relatively long compared to their body size. Webs: Noble False Widows construct tangled, messy webs that are often found in undisturbed areas like sheds, garages, or under furniture."
Western Black Widow,Arachnida (Arachnids),Araneae (Spiders),Theridiidae (Cobweb Spiders),Latrodectus,hesperus,Shiny black spider with distinctive red hourglass on underside of abdomen. Venomous. Found under logs
American Winter Ant,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Formicidae (Ants),Prenolepis,imparis,Small black ant. Lives in large nests in soil. Forages in winter when temperature is above 45°F.
Long-bodied Cellar Spider,Arachnida (Arachnids),Araneae (Spiders),Pholcidae (Cellar Spiders),Pholcus,phalangioides,Spindly brown spider with very long legs and small body. Found in corners of homes. Harmless.
Devil's Coach Horse Beetle,Insecta (Insects),Coleoptera (Beetles),Staphylinidae (Rove Beetles),Ocypus,olens,Elongated black beetle. When threatened will open jaws and raise abdomen as a defensive posture. Scavenger.
Bagrada Bug,Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Pentatomidae (Stink Bugs),Bagrada,hilaris,"Adult bugs are black with orange and white markings; the shield-shaped body is about 1/4 inch (5-7 mm) long and about half as wide at the broadest part. Adults may be confused with harlequin bugs, Murgantia histrionica, but are smaller at about 1/3 – 1/5 the size."
Mediterranean Seed Bug,Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Rhyparochromidae (Dirt-colored Seed Bugs),Xanthochilus,saturnius,Brown shield-shaped bug. Congregates on structures in fall seeking shelter. Harmless.
Odorous House Ant,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Formicidae (Ants),Tapinoma,sessile,Small black ant with single node between thorax and abdomen. Strong rotten coconut odor when crushed. Invades structures.
Cosmopolitan Ground Beetle,Insecta (Insects),Coleoptera (Beetles),Carabidae (Ground Beetles),Laemostenus,complanatus,Dark black beetle with grooved wing covers. The bluish luster of elytra is nicely reflected under strong light.. Active nocturnal predator.
Harlequin Bug,Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Pentatomidae (Stink Bugs),Murgantia,histrionica,"The adults are gaudy red-and-black-spotted stink bugs about 9.5 mm long, with flat, shield-shaped bodies. At rest, the front pair of wings overlap and the insect's back appears to be marked with a distinct X"
Listrus Beetle,Insecta (Insects),Coleoptera (Beetles),Melyridae (Soft-winged Flower Beetles),Listrus,Unknown,Elongated brown beetle found under bark. Larvae bore into dead wood.
House Cricket,Insecta (Insects),"Orthoptera (Grasshoppers, Crickets, and Katydids)",Gryllidae (True Crickets),Acheta,domesticus,Large dark brown cricket with long antennae. Chirps loudly
Black Webspinner,Insecta (Insects),Embioptera (Webspinners),Oligotomidae (Webspinners),Oligotoma,nigra,Adult Description: The Black Webspinner (Oligotoma nigra) is uniformly dark brown or black and typically 9mm in length. Only male Black Webspinners have wings and the ability to fly. Adult males also have an affinity to light. Females are typically more red in overall body color.
Woolly Darkling Beetle,Insecta (Insects),Coleoptera (Beetles),Tenebrionidae (Darkling Beetles),Eleodes,osculans,Flattened oval beetle covered in gray hairs. Found under bark and in leaf litter.
Salt Marsh Moth,Insecta (Insects),Lepidoptera (Butterflies and Moths),"Erebidae (Underwing, Tiger, Tussock, and Allied Moths)",Estigmene,acrea,"Head and thorax are white. Abdomen orange-yellow with black spots in both sexes; tip of abdomen is white on females. Forewing white with variable black spots representing bits of usual lines; some have no spots. Hindwing dark orange-yellow in male, white in female, with 3-4 black blotches in both sexes."
"Brown Marmorated Stink Bug ",Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Pentatomidae (Stink Bugs),Halyomorpha,halys,Marbled brown stink bug. Agricultural pest. Seeks shelter in structures in fall.
Bronze Beetle,Insecta (Insects),Coleoptera (Beetles),Chrysomelidae (Leaf Beetles),Chrysolina,bankii," It is metallic bronze in color, with dimpled wing cases and red legs. Adults are 8.0-10.7 mm in length. 
Wide range of host plants, especially ribwort plantain and a range of Lamiaceae, including mints.
"
Mediterranean Spiny False Wolf Spider,Arachnida (Arachnids),Araneae (Spiders),Zoropsidae (Zoropsid Spiders),Zoropsis,spinimana,"In many respects, it resembles a wolf spider. One distinctive mark is a longitudinal, black mark with several outward flares on the central top surface of the abdomen, near the cephalothorax (the part of the spider to which the legs attach)."
Mouse Spider,Arachnida (Arachnids),Araneae (Spiders),Gnaphosidae (Ground Spiders),Scotophaeus,blackwalli,"The carapace is dark brown while the abdomen is brown/grey with hairs resembling the body of a mouse, hence the common name of 'mouse spider'."
Unknown Ant,Insecta (Insects),"Hymenoptera (Ants, Bees, Wasps, and Sawflies)",Formicidae (Ants),Unknown,Unknown,Ant species unable to be identified from photo. Look for key features like color
Unknown Wolf Spider,Arachnida (Arachnids),Araneae (Spiders),Lycosidae (Wolf Spiders),Unknown,Unknown,Wolf spider unable to be identified from photo. Look for eye pattern
Unknown Darkling Beetle,Insecta (Insects),Coleoptera (Beetles),Tenebrionidae (Darkling Beetles),Unknown,Unknown,"Darkling beetles typically have 11-segmented antennae that are either filiform (thread-like), moniliform (bead-like), or weakly clubbed. The eyes of darkling beetles are notched by a frontal ridge. The first abdominal sternite, which is the first visible segment of the abdomen beneath the elytra, is entire and not divided by the hind coxae."
Unknown Lady Beetle,Insecta (Insects),Coleoptera (Beetles),Coccinellidae (Lady Beetles),Unknown,Unknown,Ladybug unable to be identified from photo. Look for color
Unknown Sac Spider,Arachnida (Arachnids),Araneae (Spiders),Cheiracanthiidae (Long-legged Sac Spiders),Cheiracanthium,Unknown,"Sac spiders vary greatly in size and appearance, but they typically have a small, slender body with long, slender legs. Their body is usually pale yellow or brown, and they may have markings on their abdomen."
Unknown Spider,Arachnida (Arachnids),Araneae (Spiders),Unknown,Unknown,Unknown," Spiders have two body parts: the cephalothorax (head and thorax) and the abdomen. Count number of legs. Look for web structure"
Unknown Bug,Insecta (Insects),"Hemiptera (True Bugs, Hoppers, Aphids, and Allies)",Unknown,Unknown,Unknown,True bug unable to be identified from photo. Look for key features like markings
Unknown Harvestmen,Arachnida (Arachnids),Opiliones (Harvestmen),Unknown,Unknown,Unknown,"Look for their long, slender legs: Harvestmen's legs are typically much longer than their bodies, and they are often seen walking or running on their legs.
Pay attention to their size and color: Harvestmen can vary in size, but they are typically small, with a body length of less than 2 cm. They can also vary in color, but they are often brown, gray, or black.
Note the fused head and body: Harvestmen have a fused head and body, so they do not have a separate head and abdomen.
"
